"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
77;"U8,U7";"VFLGA4_1P6X1P2_ARA_MCH";2;"DSC6102HI2B-024.0000T";;;
78;"C64,C71";"C_0402_1005Metric";2;"22pF";;;
79;"TP2";"TestPoint_Pad_D1.0mm";1;"FPGA_3V3";;;
80;"C129";"C_0402_1005Metric";1;"1uF";;;
81;"D-";"TestPoint_Pad_D1.0mm";1;"BUSB_D-";;;
82;"IC6,IC5";"SOT230P700X180-4N";2;"AP2114H-3.3TRG1";;;
83;"R40,R35";"R_0402_1005Metric";2;"5.62K";;;
84;"X1";"Oscillator_SMD_EuroQuartz_XO91-4Pin_7.0x5.0mm";1;"CWX823-100MHz";;;
85;"IC8";"SOIC127P600X175-8N";1;"S25FL216K0PMFI041";;;
86;"C122";"C_0603_1608Metric";1;"1uF";;;
